n	avg	sd	min	max	0.02	0.05	0.1	0.2	0.3	0.4	0.5	0.6	0.7	0.8	0.9	0.95	0.97
115	385.5122	91.16144	230.9026	983.1266	257.5578	275.9946	291.3881	311.9183	330.2666	346.9409	366.0997	388.085	411.3636	447.8359	507.5786	564.4847	606.5962
116	389.4546	82.36929	222.9103	783.5611	267.6416	284.227	298.3136	320.1265	339.4024	355.9213	373.1648	395.4542	421.981	450.0933	497.6917	543.9761	579.7154
117	394.503	86.24844	236.0699	732.7291	263.6513	277.7931	298.4376	324.1913	342.0775	358.7241	378.2949	401.7462	428.1086	456.5862	504.9554	566.1281	598.651
118	398.5008	92.87534	240.1062	799.7843	260.5974	279.4656	298.6118	324.4796	342.7492	362.4693	379.9013	401.3677	430.7621	462.0227	515.4648	567.2142	620.1427
119	399.8925	89.41611	244.0901	871.7632	269.6665	287.8246	303.7038	326.3801	344.154	363.7059	385.5775	406.6165	432.0729	462.04	517.8175	562.7451	593.8661
120	404.351	90.59201	244.1209	861.562	275.6084	292.1147	309.0275	332.7792	348.9885	366.8883	386.0855	404.6542	431.4522	464.9183	530.822	584.0693	625.4287
121	413.4143	99.73243	220.6309	891.8335	269.8537	291.0773	309.3218	337.5678	355.1873	375.0573	391.0601	412.0012	438.657	479.6332	552.3115	612.481	662.4409
122	418.5942	101.7631	250.699	954.9597	281.3912	299.1973	316.6386	335.3863	356.0899	377.24	393.9898	416.0841	443.8367	493.8218	557.3751	612.703	653.4164
123	422.5452	98.29974	242.1632	960.2494	280.6029	300.1283	318.3976	343.7935	363.4831	382.331	403.6979	429.1492	456.3124	487.8453	550.8466	604.7495	645.8583
124	424.32	95.41676	241.1991	864.8115	282.5137	301.5759	321.2647	346.9395	367.2805	386.8863	405.2456	431.3177	453.224	490.8961	553.5693	619.1858	654.8023
125	426.7095	97.36913	242.4644	875.4473	280.5994	301.415	320.2171	344.884	367.7676	388.0773	412.2839	434.023	459.7652	497.362	561.1444	606.1633	636.9608
126	433.5455	103.5646	260.4131	1069.448	293.1894	305.9575	327.2904	351.6689	374.4089	392.1518	409.9171	431.6561	460.7472	499.4407	573.9408	634.6117	683.9883
127	435.7385	101.6262	243.329	882.4353	286.1416	306.7312	324.3809	352.4287	373.9987	395.1392	416.7541	439.1708	470.4296	502.8131	570.1982	640.3007	687.9462
128	441.2713	101.9842	252.1329	823.0425	289.1574	309.4382	329.7181	361.4872	381.9044	401.6404	420.6626	446.5602	475.3104	510.7974	573.7918	631.9035	694.7604
129	439.1485	97.00496	262.2804	933.5545	301.0515	317.8585	334.1138	359.59	377.8002	398.2939	418.8198	443.3159	473.3318	508.1939	575.7578	625.9665	657.8381
130	447.9084	106.2369	247.4005	1054.288	298.8177	315.4489	335.0582	360.0486	381.6962	404.2054	427.3383	448.9577	482.7722	524.9552	589.9203	648.6309	680.6798
131	449.5487	100.3856	271.3116	1003.683	306.6643	325.7039	343.9564	367.2492	388.2976	408.2267	430.3417	453.128	482.5961	517.3191	580.6626	641.7009	690.4455
132	455.0233	105.8654	267.2003	1040.105	308.2385	323.2136	343.2186	370.8045	394.1852	412.9504	432.2395	453.7951	487.0719	524.352	598.9858	659.5855	685.8309
133	462.0981	109.9015	249.6638	968.331	308.4623	326.3939	347.6766	373.0483	396.7316	416.4337	439.8568	465.6093	496.3174	533.5963	608.1636	677.5537	717.3388
134	462.0942	102.2014	276.8953	966.3193	314.676	334.9507	351.7115	376.1436	400.0187	422.4228	445.6961	464.9957	496.5753	531.7697	601.2712	670.0052	702.1659
135	464.2572	102.6789	246.6475	929.2906	306.4523	327.6553	346.592	381.4184	401.9005	421.8839	447.9375	474.466	501.9582	541.6438	601.8322	659.0827	699.7728
136	467.956	109.8873	268.4064	1042.574	308.8301	332.955	353.0255	382.5075	402.6202	424.1191	443.5854	467.1852	501.0549	541.1728	611.0581	691.5056	734.8959
