n	avg	sd	min	max	0.02	0.05	0.1	0.2	0.3	0.4	0.5	0.6	0.7	0.8	0.9	0.95	0.97
116	823.7871	209.2465	385.8588	1697.905	483.8533	523.2437	575.326	640.8877	708.5697	754.006	798.5061	850.1106	900.2589	975.7423	1107.373	1226.874	1287.796
117	840.1643	209.5513	399.7637	1652.385	504.6682	544.4493	588.3035	661.0461	708.3834	756.2083	817.6228	871.5165	939.28	1007.47	1120.382	1234.936	1288.996
118	849.3504	223.9987	394.8177	1757.873	484.3274	530.4498	588.5703	659.0706	709.8746	759.0995	813.8354	881.9529	951.6554	1025.306	1155.487	1259.559	1339.15
119	863.3445	223.3078	402.8958	2028.902	506.1512	562.698	606.9555	666.4135	727.7561	782.7522	830.8742	886.9402	951.4016	1031.568	1171.057	1274.447	1348.565
120	870.5493	222.7457	414.1039	1764.204	496.7786	557.9337	612.3365	685.1226	738.0488	781.137	842.2043	902.2799	958.7116	1051.444	1154.004	1276.561	1348.675
121	884.8149	225.8024	436.6303	1818.319	515.4183	579.0354	629.9698	695.4272	746.4027	798.3195	840.5165	893.7399	982.3355	1060.469	1189.859	1303.177	1397.751
122	890.1571	229.7927	415.0879	1683.933	508.0394	565.6854	623.0337	694.5488	749.6879	805.74	864.7797	911.0829	984.4973	1079.303	1214.096	1313.496	1384.372
123	907.0798	232.4272	379.7539	1837.198	521.2984	581.6743	635.8679	703.9403	765.4678	820.0787	871.2956	936.2895	1009.406	1089.814	1233.396	1334.864	1402.631
124	930.7394	244.2616	422.3577	2018.798	537.3323	583.9949	645.4526	720.0069	777.3545	835.7518	898.6796	964.9523	1040.694	1121.779	1253.626	1363.117	1465.026
125	934.1384	245.3841	419.7154	2002.876	536.2658	592.4137	653.2052	727.9279	792.291	849.4834	903.6404	960.1443	1019.323	1110.998	1266.148	1384.866	1479.2
126	947.7374	241.3741	442.0973	2161.368	542.3209	608.9606	661.8799	736.9016	801.5579	865.0486	923.9269	985.7038	1050.179	1129.616	1256.488	1377.793	1470.996
127	950.3042	247.3195	459.6499	2055.038	549.7472	606.8896	656.515	733.4589	804.8279	862.5572	913.7067	982.166	1060.097	1146.989	1267.131	1412.82	1494.253
128	974.7366	247.4897	459.4649	2163.971	574.2517	620.3918	674.6733	758.1115	828.1226	890.0039	951.1283	1013.385	1082.317	1163.202	1290.89	1398.733	1479.705
129	984.5789	272.2924	442.5246	2120.431	565.4255	621.2053	678.6369	749.74	812.5134	873.3396	935.3737	1004.632	1091.242	1201.132	1358.681	1526.274	1628.325
130	975.2946	260.0001	430.9397	2135.805	578.6977	617.2504	670.6989	754.9219	816.9957	875.0097	941.9846	1011.672	1081.986	1168.903	1317.601	1449.303	1556.036
131	1007.485	266.4384	383.0144	2248.067	583.5255	637.0573	705.3644	781.0166	844.8698	905.6489	965.388	1032.832	1113.033	1209.101	1370.476	1509.451	1581.271
132	1009.147	271.5562	492.2642	2208.206	598.2759	637.5139	696.8027	770.9805	845.2154	914.379	966.3974	1040.48	1108.182	1208.604	1375.944	1544.556	1606.479
133	1012.222	261.9385	404.9568	2009.053	579.7146	636.5249	707.656	790.8609	855.4747	920.4542	978.5275	1040.204	1119.136	1206.439	1368.619	1515.072	1603.455
134	1045.467	273.3626	461.3025	2175.358	610.4335	665.324	724.2334	802.7621	878.497	939.1837	1007.829	1086.697	1158.762	1273.769	1416.081	1557.296	1624.841
135	1054.796	269.8838	474.9779	2510.553	618.2346	673.3179	747.9606	826.6408	894.2444	954.6963	1019.43	1084.369	1160.022	1260.878	1432.587	1560.916	1634.371
136	1050.684	264.0332	483.7189	2098.938	611.9371	671.4842	725.3103	817.194	882.8867	967.5583	1028.097	1092.635	1174.899	1265.07	1391.223	1523.821	1617.88
137	1057.214	268.8839	530.1453	2186.438	622.0514	675.2237	734.461	827.3875	902.332	965.9384	1029.066	1084.8	1160.18	1263.362	1406.559	1531.725	1644.069
138	1065.848	280.3194	493.2079	2511.828	626.4783	689.5745	753.1248	824.6023	888.8076	952.2867	1022.473	1105.763	1186.124	1290.191	1447.376	1569.076	1669.12
139	1101.736	287.5314	478.0502	2383.184	634.859	708.2408	761.5576	855.9357	924.0417	991.7535	1060.578	1146.253	1223.27	1327.612	1485.73	1603.605	1708.155
140	1097.631	284.9058	524.0162	2577.041	637.1907	706.6916	770.346	862.0197	925.1016	985.7632	1061.85	1132.31	1210.19	1307.67	1472.481	1634.159	1715.316
141	1108.014	298.1631	481.4042	2703.288	631.4087	690.25	754.7874	852.5738	924.7048	1006.706	1074.985	1150.808	1221.5	1323.79	1501.306	1639.178	1727.377
142	1127.033	301.9373	487.6874	3021.899	631.1117	703.352	777.8052	864.6311	938.7119	1010.188	1096.629	1174.62	1257.206	1362.97	1509.801	1692.227	1802.737
143	1125.675	295.2376	503.7003	2465.115	668.4534	710.2654	781.7935	872.5956	948.8862	1016.522	1082.407	1158.51	1246.625	1349.274	1515.154	1669.575	1747.386
144	1157.135	297.0728	523.0468	2381.42	671.511	741.5464	811.4302	888.5933	985.6054	1049.001	1118.663	1184.66	1292.872	1394.879	1552.646	1719.585	1790.431
145	1159.534	317.2093	500.3189	2592.182	674.3278	725.8567	792.1149	885.5693	971.2363	1045.832	1106.981	1189.635	1276.025	1405.408	1598.616	1774.088	1865.073
146	1173.539	311.1525	510.0853	2697.363	687.8212	732.5087	810.6559	906.774	984.7538	1062.342	1135.341	1204.986	1294.275	1420.071	1577.455	1759.371	1878.919
147	1198.635	311.1546	565.2822	2455.289	714.5138	781.8951	836.8022	918.9641	1001.48	1077.611	1154.498	1235.816	1331.939	1451.216	1619.576	1781.366	1879.545
148	1202.317	321.1783	505.8429	2519.052	673.1694	752.5091	832.3611	931.5916	1010.255	1091.941	1162.849	1246.785	1327.002	1449.395	1609.806	1785.203	1919.996
149	1209.291	313.8621	500.197	2522.845	706.6095	767.1284	840.1619	942.2611	1018.736	1101.569	1168.967	1247.191	1336.11	1451.008	1622.402	1780.239	1947.104
150	1236.639	333.1873	558.0394	3149.836	699.0765	780.1891	864.0775	952.4416	1038.259	1107.811	1188.154	1266.762	1361.44	1484.095	1680.158	1844.2	1998.555
151	1239.362	331.147	574.8365	3016.881	701.3794	767.7741	855.3496	964.8067	1049.177	1113.438	1198.307	1269.284	1372.493	1494.74	1666.965	1831.062	1952.314
152	1228.908	309.0862	564.1693	2536.62	738.3197	809.8642	870.235	955.3204	1033.415	1110.659	1183.077	1274.896	1358.559	1490.393	1635.964	1793.228	1901.678
153	1268.892	331.7019	559.6687	2954.76	745.8478	807.7958	880.025	983.7149	1055.731	1144.375	1229.747	1312.511	1415.123	1527.267	1718.038	1852.573	1965.561
154	1273.121	331.8963	578.0562	2658.698	728.6378	800.5361	875.4359	987.9954	1081.275	1148.497	1228.117	1316.273	1407.704	1521.244	1713.904	1909.113	2038.554
155	1286.703	328.6466	653.235	2639.515	742.8344	838.9827	895.1251	998.2119	1071.487	1167.234	1248.233	1331.197	1428.46	1541.766	1718.59	1904.384	1987.932
156	1315.903	346.7375	594.9613	2579.292	747.8964	814.1333	901.005	1017.328	1108.243	1193.379	1277.854	1366.565	1458.109	1573.034	1802.353	1990.908	2081.932
157	1304.891	348.7538	584.9658	2956.784	737.2998	823.3152	897.5634	1013.49	1096.91	1175.155	1261.867	1353.733	1445.357	1565.468	1756.064	1908.353	2048.012
158	1347.063	346.1706	618.1998	2725.629	746.1836	841.2217	932.7122	1037.633	1139.505	1227.733	1314.408	1414.469	1506.113	1616.889	1806.872	1970.391	2074.349
159	1351.936	360.0309	562.8739	3325.754	764.5273	858.289	927.8637	1040.766	1139.156	1216.728	1305.685	1391.179	1505.423	1632.732	1848.058	1989.791	2073.676
160	1366.478	366.442	607.0659	2800.484	763.6727	837.5709	928.9747	1041.289	1152.698	1240.75	1327.771	1411.306	1515.198	1647.33	1866.092	2071.25	2188.687
161	1381.766	379.8865	631.2939	2712.354	806.3337	876.8164	955.4915	1062.787	1134.383	1218.995	1315.211	1414.672	1529.205	1680.607	1922.382	2101.625	2270.143
